"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-06-18,"BC","Fraser","All",5,7.57
2020-06-18,"BC","Fraser","Fraser East",2,4.57
2020-06-18,"BC","Fraser","Fraser North",0,0.14
2020-06-18,"BC","Fraser","Fraser South",3,2.86
2020-06-18,"BC","Fraser","Unknown",0,0
2020-06-18,"BC","Interior","All",0,0.14
2020-06-18,"BC","Interior","East Kootenay",0,0
2020-06-18,"BC","Interior","Kootenay Boundary",0,0
2020-06-18,"BC","Interior","Okanagan",0,0.14
2020-06-18,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-06-18,"BC","Northern","All",0,0
2020-06-18,"BC","Northern","Northeast",0,0
2020-06-18,"BC","Northern","Northern Interior",0,0
2020-06-18,"BC","Northern","Northwest",0,0
2020-06-18,"BC","Vancouver Coastal","All",1,3.14
2020-06-18,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-06-18,"BC","Vancouver Coastal","Richmond",0,0.29
2020-06-18,"BC","Vancouver Coastal","Unknown",0,0
2020-06-18,"BC","Vancouver Coastal","Vancouver",1,2.86
2020-06-18,"BC","Vancouver Island","All",0,0
2020-06-18,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-18,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-18,"BC","Vancouver Island","South Vancouver Island",0,0
2020-06-18,"Out of Canada","Out of Canada","Out of Canada",0,0.71
2020-06-19,"BC","All","All",7,9.57
2020-06-19,"BC","Fraser","All",4,6.57
2020-06-19,"BC","Fraser","Fraser East",1,3.71
2020-06-19,"BC","Fraser","Fraser North",1,0.29
2020-06-19,"BC","Fraser","Fraser South",2,2.57
2020-06-19,"BC","Fraser","Unknown",0,0
2020-06-19,"BC","Interior","All",1,0.29
2020-06-19,"BC","Interior","East Kootenay",0,0
2020-06-19,"BC","Interior","Kootenay Boundary",0,0
2020-06-19,"BC","Interior","Okanagan",1,0.29
2020-06-19,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-06-19,"BC","Northern","All",0,0
2020-06-19,"BC","Northern","Northeast",0,0
2020-06-19,"BC","Northern","Northern Interior",0,0
2020-06-19,"BC","Northern","Northwest",0,0
2020-06-19,"BC","Vancouver Coastal","All",1,2.57
2020-06-19,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-06-19,"BC","Vancouver Coastal","Richmond",0,0.29
2020-06-19,"BC","Vancouver Coastal","Unknown",0,0
2020-06-19,"BC","Vancouver Coastal","Vancouver",1,2.29
2020-06-19,"BC","Vancouver Island","All",1,0.14
2020-06-19,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-19,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-19,"BC","Vancouver Island","South Vancouver Island",1,0.14
2020-06-19,"Out of Canada","Out of Canada","Out of Canada",0,0.71
2020-06-20,"BC","All","All",8,8.71
2020-06-20,"BC","Fraser","All",7,6.14
2020-06-20,"BC","Fraser","Fraser East",1,3
2020-06-20,"BC","Fraser","Fraser North",2,0.43
2020-06-20,"BC","Fraser","Fraser South",4,2.71
2020-06-20,"BC","Fraser","Unknown",0,0
2020-06-20,"BC","Interior","All",1,0.43
2020-06-20,"BC","Interior","East Kootenay",0,0
2020-06-20,"BC","Interior","Kootenay Boundary",0,0
2020-06-20,"BC","Interior","Okanagan",0,0.29
2020-06-20,"BC","Interior","Thompson Cariboo Shuswap",1,0.14
2020-06-20,"BC","Northern","All",0,0
2020-06-20,"BC","Northern","Northeast",0,0
2020-06-20,"BC","Northern","Northern Interior",0,0
2020-06-20,"BC","Northern","Northwest",0,0
2020-06-20,"BC","Vancouver Coastal","All",0,2
2020-06-20,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-06-20,"BC","Vancouver Coastal","Richmond",0,0.14
2020-06-20,"BC","Vancouver Coastal","Unknown",0,0
2020-06-20,"BC","Vancouver Coastal","Vancouver",0,1.86
2020-06-20,"BC","Vancouver Island","All",0,0.14
2020-06-20,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-20,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-20,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-20,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-06-21,"BC","All","All",18,10.43
2020-06-21,"BC","Fraser","All",15,7.71
2020-06-21,"BC","Fraser","Fraser East",6,3.86
2020-06-21,"BC","Fraser","Fraser North",0,0.43
2020-06-21,"BC","Fraser","Fraser South",9,3.43
2020-06-21,"BC","Fraser","Unknown",0,0
2020-06-21,"BC","Interior","All",0,0.43
2020-06-21,"BC","Interior","East Kootenay",0,0
2020-06-21,"BC","Interior","Kootenay Boundary",0,0
2020-06-21,"BC","Interior","Okanagan",0,0.29
2020-06-21,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-06-21,"BC","Northern","All",0,0
2020-06-21,"BC","Northern","Northeast",0,0
2020-06-21,"BC","Northern","Northern Interior",0,0
2020-06-21,"BC","Northern","Northwest",0,0
2020-06-21,"BC","Vancouver Coastal","All",3,2.14
2020-06-21,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-06-21,"BC","Vancouver Coastal","Richmond",0,0.14
2020-06-21,"BC","Vancouver Coastal","Unknown",0,0
2020-06-21,"BC","Vancouver Coastal","Vancouver",3,2
2020-06-21,"BC","Vancouver Island","All",0,0.14
2020-06-21,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-21,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-21,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-21,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-06-22,"BC","All","All",8,10.43
2020-06-22,"BC","Fraser","All",5,7.71
2020-06-22,"BC","Fraser","Fraser East",1,3.57
2020-06-22,"BC","Fraser","Fraser North",0,0.43
2020-06-22,"BC","Fraser","Fraser South",4,3.71
2020-06-22,"BC","Fraser","Unknown",0,0
2020-06-22,"BC","Interior","All",0,0.43
2020-06-22,"BC","Interior","East Kootenay",0,0
2020-06-22,"BC","Interior","Kootenay Boundary",0,0
2020-06-22,"BC","Interior","Okanagan",0,0.29
2020-06-22,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-06-22,"BC","Northern","All",0,0
2020-06-22,"BC","Northern","Northeast",0,0
2020-06-22,"BC","Northern","Northern Interior",0,0
2020-06-22,"BC","Northern","Northwest",0,0
2020-06-22,"BC","Vancouver Coastal","All",3,2.14
2020-06-22,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-06-22,"BC","Vancouver Coastal","Richmond",0,0.14
2020-06-22,"BC","Vancouver Coastal","Unknown",0,0
2020-06-22,"BC","Vancouver Coastal","Vancouver",3,2
2020-06-22,"BC","Vancouver Island","All",0,0.14
2020-06-22,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-22,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-22,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-22,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-06-23,"BC","All","All",19,10.14
2020-06-23,"BC","Fraser","All",17,8
2020-06-23,"BC","Fraser","Fraser East",7,3
2020-06-23,"BC","Fraser","Fraser North",5,1.14
2020-06-23,"BC","Fraser","Fraser South",5,3.86
2020-06-23,"BC","Fraser","Unknown",0,0
2020-06-23,"BC","Interior","All",0,0.29
2020-06-23,"BC","Interior","East Kootenay",0,0
2020-06-23,"BC","Interior","Kootenay Boundary",0,0
2020-06-23,"BC","Interior","Okanagan",0,0.14
2020-06-23,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-06-23,"BC","Northern","All",0,0
2020-06-23,"BC","Northern","Northeast",0,0
2020-06-23,"BC","Northern","Northern Interior",0,0
2020-06-23,"BC","Northern","Northwest",0,0
2020-06-23,"BC","Vancouver Coastal","All",2,1.71
2020-06-23,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-06-23,"BC","Vancouver Coastal","Richmond",0,0
2020-06-23,"BC","Vancouver Coastal","Unknown",0,0
2020-06-23,"BC","Vancouver Coastal","Vancouver",2,1.71
2020-06-23,"BC","Vancouver Island","All",0,0.14
2020-06-23,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-23,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-23,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-23,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-06-24,"BC","All","All",18,12
2020-06-24,"BC","Fraser","All",11,9.14
2020-06-24,"BC","Fraser","Fraser East",1,2.71
2020-06-24,"BC","Fraser","Fraser North",1,1.29
2020-06-24,"BC","Fraser","Fraser South",9,5.14
2020-06-24,"BC","Fraser","Unknown",0,0
2020-06-24,"BC","Interior","All",0,0.29
2020-06-24,"BC","Interior","East Kootenay",0,0
2020-06-24,"BC","Interior","Kootenay Boundary",0,0
2020-06-24,"BC","Interior","Okanagan",0,0.14
2020-06-24,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-06-24,"BC","Northern","All",0,0
2020-06-24,"BC","Northern","Northeast",0,0
2020-06-24,"BC","Northern","Northern Interior",0,0
2020-06-24,"BC","Northern","Northwest",0,0
2020-06-24,"BC","Vancouver Coastal","All",7,2.43
2020-06-24,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,0.14
2020-06-24,"BC","Vancouver Coastal","Richmond",0,0
2020-06-24,"BC","Vancouver Coastal","Unknown",0,0
2020-06-24,"BC","Vancouver Coastal","Vancouver",6,2.29
2020-06-24,"BC","Vancouver Island","All",0,0.14
2020-06-24,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-24,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-24,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-24,"Out of Canada","Out of Canada","Out of Canada",1,0.43
2020-06-25,"BC","All","All",7,12.14
2020-06-25,"BC","Fraser","All",6,9.29
2020-06-25,"BC","Fraser","Fraser East",2,2.71
2020-06-25,"BC","Fraser","Fraser North",2,1.57
2020-06-25,"BC","Fraser","Fraser South",2,5
2020-06-25,"BC","Fraser","Unknown",0,0
2020-06-25,"BC","Interior","All",0,0.29
2020-06-25,"BC","Interior","East Kootenay",0,0
2020-06-25,"BC","Interior","Kootenay Boundary",0,0
2020-06-25,"BC","Interior","Okanagan",0,0.14
2020-06-25,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-06-25,"BC","Northern","All",0,0
2020-06-25,"BC","Northern","Northeast",0,0
2020-06-25,"BC","Northern","Northern Interior",0,0
2020-06-25,"BC","Northern","Northwest",0,0
2020-06-25,"BC","Vancouver Coastal","All",1,2.43
2020-06-25,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-06-25,"BC","Vancouver Coastal","Richmond",0,0
2020-06-25,"BC","Vancouver Coastal","Unknown",0,0
2020-06-25,"BC","Vancouver Coastal","Vancouver",1,2.29
2020-06-25,"BC","Vancouver Island","All",0,0.14
2020-06-25,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-25,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-25,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-25,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-06-26,"BC","All","All",8,12.29
2020-06-26,"BC","Fraser","All",5,9.43
2020-06-26,"BC","Fraser","Fraser East",0,2.57
2020-06-26,"BC","Fraser","Fraser North",1,1.57
2020-06-26,"BC","Fraser","Fraser South",4,5.29
2020-06-26,"BC","Fraser","Unknown",0,0
2020-06-26,"BC","Interior","All",1,0.29
2020-06-26,"BC","Interior","East Kootenay",0,0
2020-06-26,"BC","Interior","Kootenay Boundary",0,0
2020-06-26,"BC","Interior","Okanagan",1,0.14
2020-06-26,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-06-26,"BC","Northern","All",0,0
2020-06-26,"BC","Northern","Northeast",0,0
2020-06-26,"BC","Northern","Northern Interior",0,0
2020-06-26,"BC","Northern","Northwest",0,0
2020-06-26,"BC","Vancouver Coastal","All",2,2.57
2020-06-26,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-06-26,"BC","Vancouver Coastal","Richmond",0,0
2020-06-26,"BC","Vancouver Coastal","Unknown",0,0
2020-06-26,"BC","Vancouver Coastal","Vancouver",2,2.43
2020-06-26,"BC","Vancouver Island","All",0,0
2020-06-26,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-26,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-26,"BC","Vancouver Island","South Vancouver Island",0,0
2020-06-26,"Out of Canada","Out of Canada","Out of Canada",2,0.71
2020-06-27,"BC","All","All",11,12.71
2020-06-27,"BC","Fraser","All",7,9.43
2020-06-27,"BC","Fraser","Fraser East",5,3.14
2020-06-27,"BC","Fraser","Fraser North",1,1.43
2020-06-27,"BC","Fraser","Fraser South",1,4.86
2020-06-27,"BC","Fraser","Unknown",0,0
2020-06-27,"BC","Interior","All",0,0.14
2020-06-27,"BC","Interior","East Kootenay",0,0
2020-06-27,"BC","Interior","Kootenay Boundary",0,0
2020-06-27,"BC","Interior","Okanagan",0,0.14
2020-06-27,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-06-27,"BC","Northern","All",0,0
2020-06-27,"BC","Northern","Northeast",0,0
2020-06-27,"BC","Northern","Northern Interior",0,0
2020-06-27,"BC","Northern","Northwest",0,0
2020-06-27,"BC","Vancouver Coastal","All",4,3.14
2020-06-27,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-06-27,"BC","Vancouver Coastal","Richmond",0,0
2020-06-27,"BC","Vancouver Coastal","Unknown",0,0
2020-06-27,"BC","Vancouver Coastal","Vancouver",4,3
2020-06-27,"BC","Vancouver Island","All",0,0
2020-06-27,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-27,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-27,"BC","Vancouver Island","South Vancouver Island",0,0
2020-06-27,"Out of Canada","Out of Canada","Out of Canada",0,0.71
2020-06-28,"BC","All","All",8,11.29
2020-06-28,"BC","Fraser","All",6,8.14
2020-06-28,"BC","Fraser","Fraser East",1,2.43
2020-06-28,"BC","Fraser","Fraser North",1,1.57
2020-06-28,"BC","Fraser","Fraser South",4,4.14
2020-06-28,"BC","Fraser","Unknown",0,0
2020-06-28,"BC","Interior","All",0,0.14
2020-06-28,"BC","Interior","East Kootenay",0,0
2020-06-28,"BC","Interior","Kootenay Boundary",0,0
2020-06-28,"BC","Interior","Okanagan",0,0.14
2020-06-28,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-06-28,"BC","Northern","All",0,0
2020-06-28,"BC","Northern","Northeast",0,0
2020-06-28,"BC","Northern","Northern Interior",0,0
2020-06-28,"BC","Northern","Northwest",0,0
2020-06-28,"BC","Vancouver Coastal","All",2,3
2020-06-28,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-06-28,"BC","Vancouver Coastal","Richmond",0,0
2020-06-28,"BC","Vancouver Coastal","Unknown",0,0
2020-06-28,"BC","Vancouver Coastal","Vancouver",2,2.86
2020-06-28,"BC","Vancouver Island","All",0,0
2020-06-28,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-28,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-28,"BC","Vancouver Island","South Vancouver Island",0,0
2020-06-28,"Out of Canada","Out of Canada","Out of Canada",0,0.57
2020-06-29,"BC","All","All",8,11.29
2020-06-29,"BC","Fraser","All",5,8.14
2020-06-29,"BC","Fraser","Fraser East",0,2.29
2020-06-29,"BC","Fraser","Fraser North",3,2
2020-06-29,"BC","Fraser","Fraser South",2,3.86
2020-06-29,"BC","Fraser","Unknown",0,0
2020-06-29,"BC","Interior","All",0,0.14
2020-06-29,"BC","Interior","East Kootenay",0,0
2020-06-29,"BC","Interior","Kootenay Boundary",0,0
2020-06-29,"BC","Interior","Okanagan",0,0.14
2020-06-29,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-06-29,"BC","Northern","All",0,0
2020-06-29,"BC","Northern","Northeast",0,0
2020-06-29,"BC","Northern","Northern Interior",0,0
2020-06-29,"BC","Northern","Northwest",0,0
2020-06-29,"BC","Vancouver Coastal","All",2,2.86
2020-06-29,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-06-29,"BC","Vancouver Coastal","Richmond",0,0
2020-06-29,"BC","Vancouver Coastal","Unknown",0,0
2020-06-29,"BC","Vancouver Coastal","Vancouver",2,2.71
2020-06-29,"BC","Vancouver Island","All",1,0.14
2020-06-29,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-06-29,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-29,"BC","Vancouver Island","South Vancouver Island",1,0.14
2020-06-29,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-06-30,"BC","All","All",14,10.57
2020-06-30,"BC","Fraser","All",8,6.86
2020-06-30,"BC","Fraser","Fraser East",1,1.43
2020-06-30,"BC","Fraser","Fraser North",1,1.43
2020-06-30,"BC","Fraser","Fraser South",6,4
2020-06-30,"BC","Fraser","Unknown",0,0
2020-06-30,"BC","Interior","All",0,0.14
2020-06-30,"BC","Interior","East Kootenay",0,0
2020-06-30,"BC","Interior","Kootenay Boundary",0,0
2020-06-30,"BC","Interior","Okanagan",0,0.14
2020-06-30,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-06-30,"BC","Northern","All",0,0
2020-06-30,"BC","Northern","Northeast",0,0
2020-06-30,"BC","Northern","Northern Interior",0,0
2020-06-30,"BC","Northern","Northwest",0,0
2020-06-30,"BC","Vancouver Coastal","All",5,3.29
2020-06-30,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0.14
2020-06-30,"BC","Vancouver Coastal","Richmond",0,0
2020-06-30,"BC","Vancouver Coastal","Unknown",0,0
2020-06-30,"BC","Vancouver Coastal","Vancouver",5,3.14
2020-06-30,"BC","Vancouver Island","All",1,0.29
2020-06-30,"BC","Vancouver Island","Central Vancouver Island",1,0.14
2020-06-30,"BC","Vancouver Island","North Vancouver Island",0,0
2020-06-30,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-06-30,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-07-01,"BC","All","All",10,9.43
2020-07-01,"BC","Fraser","All",8,6.43
2020-07-01,"BC","Fraser","Fraser East",2,1.57
2020-07-01,"BC","Fraser","Fraser North",0,1.29
2020-07-01,"BC","Fraser","Fraser South",6,3.57
2020-07-01,"BC","Fraser","Unknown",0,0
2020-07-01,"BC","Interior","All",1,0.29
2020-07-01,"BC","Interior","East Kootenay",0,0
2020-07-01,"BC","Interior","Kootenay Boundary",0,0
2020-07-01,"BC","Interior","Okanagan",1,0.29
2020-07-01,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-01,"BC","Northern","All",0,0
2020-07-01,"BC","Northern","Northeast",0,0
2020-07-01,"BC","Northern","Northern Interior",0,0
2020-07-01,"BC","Northern","Northwest",0,0
2020-07-01,"BC","Vancouver Coastal","All",1,2.43
2020-07-01,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-07-01,"BC","Vancouver Coastal","Richmond",0,0
2020-07-01,"BC","Vancouver Coastal","Unknown",0,0
2020-07-01,"BC","Vancouver Coastal","Vancouver",1,2.43
2020-07-01,"BC","Vancouver Island","All",0,0.29
2020-07-01,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-07-01,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-01,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-07-01,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-07-02,"BC","All","All",8,9.57
2020-07-02,"BC","Fraser","All",2,5.86
2020-07-02,"BC","Fraser","Fraser East",1,1.43
2020-07-02,"BC","Fraser","Fraser North",1,1.14
2020-07-02,"BC","Fraser","Fraser South",0,3.29
2020-07-02,"BC","Fraser","Unknown",0,0
2020-07-02,"BC","Interior","All",1,0.43
2020-07-02,"BC","Interior","East Kootenay",0,0
2020-07-02,"BC","Interior","Kootenay Boundary",0,0
2020-07-02,"BC","Interior","Okanagan",1,0.43
2020-07-02,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-02,"BC","Northern","All",0,0
2020-07-02,"BC","Northern","Northeast",0,0
2020-07-02,"BC","Northern","Northern Interior",0,0
2020-07-02,"BC","Northern","Northwest",0,0
2020-07-02,"BC","Vancouver Coastal","All",5,3
2020-07-02,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-07-02,"BC","Vancouver Coastal","Richmond",0,0
2020-07-02,"BC","Vancouver Coastal","Unknown",0,0
2020-07-02,"BC","Vancouver Coastal","Vancouver",5,3
2020-07-02,"BC","Vancouver Island","All",0,0.29
2020-07-02,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-07-02,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-02,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-07-02,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-07-03,"BC","All","All",13,10.29
2020-07-03,"BC","Fraser","All",9,6.43
2020-07-03,"BC","Fraser","Fraser East",2,1.71
2020-07-03,"BC","Fraser","Fraser North",0,1
2020-07-03,"BC","Fraser","Fraser South",7,3.71
2020-07-03,"BC","Fraser","Unknown",0,0
2020-07-03,"BC","Interior","All",1,0.43
2020-07-03,"BC","Interior","East Kootenay",0,0
2020-07-03,"BC","Interior","Kootenay Boundary",1,0.14
2020-07-03,"BC","Interior","Okanagan",0,0.29
2020-07-03,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-03,"BC","Northern","All",0,0
2020-07-03,"BC","Northern","Northeast",0,0
2020-07-03,"BC","Northern","Northern Interior",0,0
2020-07-03,"BC","Northern","Northwest",0,0
2020-07-03,"BC","Vancouver Coastal","All",3,3.14
2020-07-03,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-07-03,"BC","Vancouver Coastal","Richmond",1,0.14
2020-07-03,"BC","Vancouver Coastal","Unknown",0,0
2020-07-03,"BC","Vancouver Coastal","Vancouver",2,3
2020-07-03,"BC","Vancouver Island","All",0,0.29
2020-07-03,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-07-03,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-03,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-07-03,"Out of Canada","Out of Canada","Out of Canada",1,0.57
2020-07-04,"BC","All","All",13,10.57
2020-07-04,"BC","Fraser","All",8,6.57
2020-07-04,"BC","Fraser","Fraser East",2,1.29
2020-07-04,"BC","Fraser","Fraser North",1,1
2020-07-04,"BC","Fraser","Fraser South",5,4.29
2020-07-04,"BC","Fraser","Unknown",0,0
2020-07-04,"BC","Interior","All",0,0.43
2020-07-04,"BC","Interior","East Kootenay",0,0
2020-07-04,"BC","Interior","Kootenay Boundary",0,0.14
2020-07-04,"BC","Interior","Okanagan",0,0.29
2020-07-04,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-04,"BC","Northern","All",0,0
2020-07-04,"BC","Northern","Northeast",0,0
2020-07-04,"BC","Northern","Northern Interior",0,0
2020-07-04,"BC","Northern","Northwest",0,0
2020-07-04,"BC","Vancouver Coastal","All",5,3.29
2020-07-04,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-07-04,"BC","Vancouver Coastal","Richmond",0,0.14
2020-07-04,"BC","Vancouver Coastal","Unknown",0,0
2020-07-04,"BC","Vancouver Coastal","Vancouver",5,3.14
2020-07-04,"BC","Vancouver Island","All",0,0.29
2020-07-04,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-07-04,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-04,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-07-04,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2020-07-05,"BC","All","All",6,10.29
2020-07-05,"BC","Fraser","All",1,5.86
2020-07-05,"BC","Fraser","Fraser East",0,1.14
2020-07-05,"BC","Fraser","Fraser North",1,1
2020-07-05,"BC","Fraser","Fraser South",0,3.71
2020-07-05,"BC","Fraser","Unknown",0,0
2020-07-05,"BC","Interior","All",0,0.43
2020-07-05,"BC","Interior","East Kootenay",0,0
2020-07-05,"BC","Interior","Kootenay Boundary",0,0.14
2020-07-05,"BC","Interior","Okanagan",0,0.29
2020-07-05,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-05,"BC","Northern","All",0,0
2020-07-05,"BC","Northern","Northeast",0,0
2020-07-05,"BC","Northern","Northern Interior",0,0
2020-07-05,"BC","Northern","Northwest",0,0
2020-07-05,"BC","Vancouver Coastal","All",5,3.71
2020-07-05,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-07-05,"BC","Vancouver Coastal","Richmond",0,0.14
2020-07-05,"BC","Vancouver Coastal","Unknown",0,0
2020-07-05,"BC","Vancouver Coastal","Vancouver",5,3.57
2020-07-05,"BC","Vancouver Island","All",0,0.29
2020-07-05,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-07-05,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-05,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-07-05,"Out of Canada","Out of Canada","Out of Canada",1,0.86
2020-07-06,"BC","All","All",11,10.71
2020-07-06,"BC","Fraser","All",10,6.57
2020-07-06,"BC","Fraser","Fraser East",5,1.86
2020-07-06,"BC","Fraser","Fraser North",1,0.71
2020-07-06,"BC","Fraser","Fraser South",4,4
2020-07-06,"BC","Fraser","Unknown",0,0
2020-07-06,"BC","Interior","All",0,0.43
2020-07-06,"BC","Interior","East Kootenay",0,0
2020-07-06,"BC","Interior","Kootenay Boundary",0,0.14
2020-07-06,"BC","Interior","Okanagan",0,0.29
2020-07-06,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-06,"BC","Northern","All",0,0
2020-07-06,"BC","Northern","Northeast",0,0
2020-07-06,"BC","Northern","Northern Interior",0,0
2020-07-06,"BC","Northern","Northwest",0,0
2020-07-06,"BC","Vancouver Coastal","All",1,3.57
2020-07-06,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",0,0
2020-07-06,"BC","Vancouver Coastal","Richmond",0,0.14
2020-07-06,"BC","Vancouver Coastal","Unknown",0,0
2020-07-06,"BC","Vancouver Coastal","Vancouver",1,3.43
2020-07-06,"BC","Vancouver Island","All",0,0.14
2020-07-06,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-07-06,"BC","Vancouver Island","North Vancouver Island",0,0
2020-07-06,"BC","Vancouver Island","South Vancouver Island",0,0
2020-07-06,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2020-07-07,"BC","All","All",18,11.29
2020-07-07,"BC","Fraser","All",11,7
2020-07-07,"BC","Fraser","Fraser East",5,2.43
2020-07-07,"BC","Fraser","Fraser North",0,0.57
2020-07-07,"BC","Fraser","Fraser South",6,4
2020-07-07,"BC","Fraser","Unknown",0,0
2020-07-07,"BC","Interior","All",1,0.57
2020-07-07,"BC","Interior","East Kootenay",0,0
2020-07-07,"BC","Interior","Kootenay Boundary",0,0.14
2020-07-07,"BC","Interior","Okanagan",1,0.43
2020-07-07,"BC","Interior","Thompson Cariboo Shuswap",0,0
2020-07-07,"BC","Northern","All",0,0
2020-07-07,"BC","Northern","Northeast",0,0
2020-07-07,"BC","Northern","Northern Interior",0,0
2020-07-07,"BC","Northern","Northwest",0,0
2020-07-07,"BC","Vancouver Coastal","All",6,3.71
2020-07-07,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,0.14
