#	Label	Interval	Total	Time Recorded
	Start	---	---	Tue, Mar 1, 2022 at 10:41:54.023
70	Split	00:00:00.135	00:00:31.083	Tue, Mar 1, 2022 at 10:42:25.106
71	Split	00:00:00.149	00:00:31.232	Tue, Mar 1, 2022 at 10:42:25.255
72	Split	00:00:00.142	00:00:31.374	Tue, Mar 1, 2022 at 10:42:25.397
73	Split	00:00:00.165	00:00:31.539	Tue, Mar 1, 2022 at 10:42:25.562
74	Split	00:00:00.165	00:00:31.704	Tue, Mar 1, 2022 at 10:42:25.727
75	Split	00:00:00.169	00:00:31.873	Tue, Mar 1, 2022 at 10:42:25.896
76	Split	00:00:00.191	00:00:32.064	Tue, Mar 1, 2022 at 10:42:26.087
77	Split	00:00:00.162	00:00:32.226	Tue, Mar 1, 2022 at 10:42:26.249
78	Split	00:00:00.188	00:00:32.414	Tue, Mar 1, 2022 at 10:42:26.437
79	Split	00:00:00.176	00:00:32.590	Tue, Mar 1, 2022 at 10:42:26.613
80	Split	00:00:00.165	00:00:32.755	Tue, Mar 1, 2022 at 10:42:26.778
81	Split	00:00:00.165	00:00:32.920	Tue, Mar 1, 2022 at 10:42:26.943
82	Split	00:00:00.171	00:00:33.091	Tue, Mar 1, 2022 at 10:42:27.114
83	Split	00:00:00.173	00:00:33.264	Tue, Mar 1, 2022 at 10:42:27.287
84	Split	00:00:00.157	00:00:33.421	Tue, Mar 1, 2022 at 10:42:27.444
85	Split	00:00:00.171	00:00:33.592	Tue, Mar 1, 2022 at 10:42:27.615
86	Split	00:00:00.161	00:00:33.753	Tue, Mar 1, 2022 at 10:42:27.776
87	Split	00:00:00.163	00:00:33.916	Tue, Mar 1, 2022 at 10:42:27.939
88	Split	00:00:00.170	00:00:34.086	Tue, Mar 1, 2022 at 10:42:28.109
89	Split	00:00:00.162	00:00:34.248	Tue, Mar 1, 2022 at 10:42:28.271
90	Split	00:00:00.172	00:00:34.420	Tue, Mar 1, 2022 at 10:42:28.443
91	Split	00:00:00.161	00:00:34.581	Tue, Mar 1, 2022 at 10:42:28.604
